snapped_at,price,market_cap,total_volume
2024-05-27 00:00:00 UTC,165.4290645294327,0.0,3758192.460594434
2024-05-28 00:00:00 UTC,172.59683352851204,0.0,5570533.291020437
2024-05-29 00:00:00 UTC,170.58170421607787,0.0,6816579.626818235
2024-05-30 00:00:00 UTC,171.27367755268327,0.0,11663077.002862705
2024-05-31 00:00:00 UTC,169.2248152035823,0.0,28613148.451561004
2024-06-01 00:00:00 UTC,167.59211722697734,0.0,18826525.48233379
2024-06-02 00:00:00 UTC,168.85316487624826,0.0,13435963.141062789
2024-06-03 00:00:00 UTC,164.99038202522704,0.0,23617087.538953986
2024-06-04 00:00:00 UTC,167.65408866198536,0.0,65448361.412434585
2024-06-05 00:00:00 UTC,173.81372432771317,0.0,34692274.84515496
2024-06-06 00:00:00 UTC,175.89536188499406,0.0,27387511.689425547
2024-06-07 00:00:00 UTC,172.54398511897773,0.0,18829297.25204296
2024-06-08 00:00:00 UTC,164.62339300564778,0.0,518288.92283055646
2024-06-09 00:00:00 UTC,160.39427280165475,0.0,13997494.084888836
2024-06-10 00:00:00 UTC,164.2627133821833,0.0,31147965.223119825
2024-06-11 00:00:00 UTC,161.66890848947116,0.0,22770787.640061304
2024-06-12 00:00:00 UTC,151.6052366606818,0.0,33500223.0834272
2024-06-13 00:00:00 UTC,158.19421134160223,0.0,3525089.0025281897
2024-06-14 00:00:00 UTC,149.51004003974856,0.0,30868959.657761686
2024-06-15 00:00:00 UTC,145.0923991778167,0.0,20044020.466146834
2024-06-16 00:00:00 UTC,147.2461179989552,0.0,6341192.844441409
2024-06-17 00:00:00 UTC,152.58290757972924,0.0,9083754.101094743
2024-06-18 00:00:00 UTC,145.86421594198524,0.0,9230139.708552593
2024-06-19 00:00:00 UTC,139.11330579233058,0.0,11316515.006366655
2024-06-20 00:00:00 UTC,137.32710538438766,0.0,6070410.456013496
2024-06-21 00:00:00 UTC,135.8878989126903,0.0,8568152.965029648
2024-06-22 00:00:00 UTC,136.7153251873169,0.0,3027475.9598586564
2024-06-23 00:00:00 UTC,135.94436021379084,0.0,2733727.527705053
2024-06-24 00:00:00 UTC,131.12221768753685,0.0,2100088.0775314
2024-06-25 00:00:00 UTC,133.92505850111027,0.0,6042744.321365089
2024-06-26 00:00:00 UTC,140.4818056782733,0.0,4816382.810564193
2024-06-27 00:00:00 UTC,139.91995108788277,0.0,6796041.015211461
2024-06-28 00:00:00 UTC,152.45131831727477,0.0,10572002.781944249
2024-06-29 00:00:00 UTC,142.69181628975386,0.0,13293083.900471738
2024-06-30 00:00:00 UTC,142.61127122102866,0.0,4997689.399439957
2024-07-01 00:00:00 UTC,149.80952852509066,0.0,5989330.794062136
2024-07-02 00:00:00 UTC,149.24961812140486,0.0,7126024.784564688
2024-07-03 00:00:00 UTC,156.94379981433664,0.0,10383882.085873865
2024-07-04 00:00:00 UTC,143.81929640281788,0.0,13483920.615078278
2024-07-05 00:00:00 UTC,132.78330409367493,0.0,14623352.694484467
2024-07-06 00:00:00 UTC,137.34042627213032,0.0,17594834.449659422
2024-07-07 00:00:00 UTC,146.5350457147069,0.0,5781687.153100496
2024-07-08 00:00:00 UTC,136.25539799227457,0.0,9818058.791381534
2024-07-09 00:00:00 UTC,143.1966209046578,0.0,10874121.597404523
2024-07-10 00:00:00 UTC,144.73025542485505,0.0,13414118.74913917
2024-07-11 00:00:00 UTC,144.59049283152095,0.0,12500818.524890121
2024-07-12 00:00:00 UTC,139.47985080458145,0.0,8981092.320667228
2024-07-13 00:00:00 UTC,141.76376407717692,0.0,6886646.209546747
2024-07-14 00:00:00 UTC,145.0055879580802,0.0,8011806.289927641
2024-07-15 00:00:00 UTC,150.4063252986707,0.0,3522607.192624896
